date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
2020-03-06,nowcast,1.5,1.2,1.9,1.4,1.6,0.0
2020-03-07,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
2020-03-08,nowcast,1.3,1.1,1.6,1.2,1.4,0.02
2020-03-09,nowcast,1.2,1.0,1.4,1.1,1.3,0.08
2020-03-10,nowcast,1.1,0.9,1.3,1.0,1.2,0.21
2020-03-11,nowcast,1.0,0.8,1.2,1.0,1.1,0.37
2020-03-12,nowcast,1.0,0.9,1.2,1.0,1.1,0.36
2020-03-13,nowcast,1.1,0.9,1.2,1.0,1.1,0.27
2020-03-14,nowcast,1.1,0.9,1.2,1.0,1.2,0.16
2020-03-15,nowcast,1.1,1.0,1.3,1.0,1.2,0.08
2020-03-16,nowcast,1.2,1.0,1.4,1.1,1.2,0.03
2020-03-17,nowcast,1.2,1.0,1.4,1.1,1.3,0.01
2020-03-18,nowcast,1.2,1.1,1.4,1.2,1.3,0.0
2020-03-19,nowcast,1.3,1.1,1.4,1.2,1.3,0.0
2020-03-20,nowcast,1.3,1.1,1.5,1.2,1.3,0.0
2020-03-21,nowcast,1.3,1.2,1.5,1.2,1.4,0.0
2020-03-22,nowcast,1.3,1.2,1.5,1.2,1.4,0.0
2020-03-23,nowcast,1.3,1.2,1.5,1.2,1.3,0.0
2020-03-24,nowcast,1.3,1.2,1.5,1.2,1.3,0.0
2020-03-25,nowcast,1.3,1.1,1.4,1.2,1.3,0.0
2020-03-26,nowcast,1.3,1.1,1.4,1.2,1.3,0.0
2020-03-27,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
2020-03-28,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
2020-03-29,nowcast,1.2,1.0,1.3,1.1,1.2,0.02
2020-03-30,nowcast,1.1,1.0,1.3,1.1,1.2,0.05
2020-03-31,nowcast,1.1,1.0,1.2,1.0,1.1,0.15
2020-04-01,nowcast,1.0,0.9,1.2,1.0,1.1,0.32
2020-04-02,nowcast,1.0,0.9,1.1,0.9,1.0,0.55
2020-04-03,nowcast,0.9,0.8,1.1,0.9,1.0,0.81
2020-04-04,nowcast,0.9,0.8,1.0,0.9,1.0,0.92
2020-04-05,nowcast,0.9,0.8,1.0,0.8,0.9,0.98
2020-04-06,nowcast,0.9,0.8,1.0,0.8,0.9,1.0
2020-04-07,nowcast,0.8,0.7,0.9,0.8,0.9,1.0
2020-04-08,nowcast,0.8,0.7,0.9,0.8,0.9,1.0
2020-04-09,nowcast,0.8,0.7,0.9,0.8,0.9,0.99
2020-04-10,nowcast,0.8,0.7,0.9,0.8,0.9,0.98
2020-04-11,nowcast,0.9,0.8,1.0,0.8,0.9,0.96
2020-04-12,nowcast,0.9,0.8,1.0,0.8,0.9,0.93
2020-04-13,nowcast,0.9,0.8,1.0,0.9,0.9,0.91
2020-04-14,nowcast,0.9,0.8,1.0,0.9,0.9,0.89
2020-04-15,nowcast,0.9,0.8,1.0,0.9,0.9,0.88
2020-04-16,nowcast,0.9,0.8,1.0,0.9,1.0,0.88
2020-04-17,nowcast,0.9,0.8,1.0,0.9,1.0,0.85
2020-04-18,nowcast,0.9,0.8,1.0,0.9,1.0,0.86
2020-04-19,nowcast,0.9,0.8,1.0,0.9,1.0,0.85
2020-04-20,nowcast,0.9,0.8,1.1,0.9,1.0,0.85
2020-04-21,nowcast,0.9,0.8,1.0,0.9,1.0,0.87
2020-04-22,nowcast,0.9,0.8,1.0,0.9,1.0,0.9
2020-04-23,nowcast,0.9,0.8,1.0,0.9,1.0,0.92
2020-04-24,nowcast,0.9,0.8,1.0,0.9,0.9,0.94
2020-04-25,nowcast,0.9,0.8,1.0,0.9,0.9,0.94
2020-04-26,nowcast,0.9,0.8,1.0,0.9,0.9,0.94
2020-04-27,nowcast,0.9,0.8,1.0,0.9,0.9,0.95
2020-04-28,nowcast,0.9,0.8,1.0,0.9,0.9,0.95
2020-04-29,nowcast,0.9,0.8,1.0,0.9,0.9,0.95
2020-04-30,nowcast,0.9,0.8,1.0,0.8,0.9,0.96
2020-05-01,nowcast,0.9,0.8,1.0,0.9,0.9,0.96
2020-05-02,nowcast,0.9,0.8,1.0,0.8,0.9,0.97
2020-05-03,nowcast,0.9,0.7,1.0,0.8,0.9,0.98
2020-05-04,nowcast,0.8,0.7,1.0,0.8,0.9,0.98
2020-05-05,nowcast,0.8,0.7,0.9,0.8,0.9,0.99
2020-05-06,nowcast,0.8,0.7,0.9,0.8,0.9,0.99
2020-05-07,nowcast,0.8,0.7,0.9,0.8,0.9,0.99
2020-05-08,nowcast,0.8,0.7,0.9,0.8,0.8,1.0
2020-05-09,nowcast,0.8,0.7,0.9,0.7,0.8,0.99
2020-05-10,nowcast,0.8,0.7,0.9,0.7,0.8,0.99
2020-05-11,nowcast,0.8,0.7,0.9,0.7,0.8,0.98
2020-05-12,nowcast,0.8,0.7,1.0,0.8,0.9,0.96
2020-05-13,nowcast,0.8,0.7,1.0,0.8,0.9,0.95
2020-05-14,nowcast,0.8,0.7,1.0,0.8,0.9,0.93
2020-05-15,nowcast,0.9,0.7,1.0,0.8,0.9,0.91
2020-05-16,nowcast,0.9,0.7,1.0,0.8,0.9,0.9
2020-05-17,nowcast,0.9,0.7,1.1,0.8,0.9,0.88
2020-05-18,nowcast,0.9,0.7,1.0,0.8,0.9,0.88
2020-05-19,nowcast,0.9,0.7,1.1,0.8,0.9,0.88
2020-05-20,nowcast,0.9,0.7,1.0,0.8,0.9,0.89
2020-05-21,nowcast,0.9,0.7,1.1,0.8,0.9,0.88
2020-05-22,nowcast,0.9,0.7,1.1,0.8,1.0,0.87
2020-05-23,nowcast,0.9,0.7,1.1,0.8,1.0,0.83
2020-05-24,nowcast,0.9,0.7,1.1,0.8,1.0,0.79
2020-05-25,nowcast,0.9,0.8,1.1,0.8,1.0,0.76
2020-05-26,nowcast,0.9,0.8,1.1,0.9,1.0,0.67
2020-05-27,nowcast,1.0,0.8,1.2,0.9,1.0,0.61
2020-05-28,nowcast,1.0,0.8,1.2,0.9,1.1,0.55
2020-05-29,forecast,1.0,0.8,1.2,0.9,1.1,0.55
2020-05-30,forecast,1.0,0.7,1.2,0.9,1.1,0.55
2020-05-31,forecast,1.0,0.7,1.3,0.9,1.1,0.54
2020-06-01,forecast,1.0,0.7,1.3,0.9,1.1,0.53
2020-06-02,forecast,1.0,0.7,1.3,0.9,1.1,0.53
2020-06-03,forecast,1.0,0.7,1.3,0.9,1.1,0.52
2020-06-04,forecast,1.0,0.7,1.3,0.8,1.1,0.52
2020-06-05,forecast,1.0,0.6,1.3,0.9,1.1,0.52
2020-06-06,forecast,1.0,0.6,1.4,0.8,1.1,0.51
2020-06-07,forecast,1.0,0.6,1.3,0.8,1.1,0.51
2020-06-08,forecast,1.0,0.6,1.4,0.9,1.1,0.5
2020-06-09,forecast,1.0,0.6,1.5,0.8,1.1,0.49
2020-06-10,forecast,1.0,0.6,1.4,0.8,1.1,0.5
2020-06-11,forecast,1.0,0.6,1.4,0.8,1.1,0.5
