date,country,reported_cases,reported_cases_cumulative,predicted_infections_mean_cumulative,predicted_infections_lower_CI_95_cumulative,predicted_infections_higher_CI_95_cumulative,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95,reported_deaths,reported_deaths_cumulative,estimated_deaths_mean_cumulative,estimated_deaths_lower_CI_95_cumulative,estimated_deaths_higher_CI_95_cumulative,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R(t),time_varying_reproduction_number_R(t)_lower_CI_95,time_varying_reproduction_number_R(t)_higher_CI_95
2020-02-07,France,0,0,13.9653272795609,4.89608814422614,30.107697374515,13.9653272795609,4.89608814422614,30.107697374515,0,0,1.3965327279560898e-14,4.896088144226141e-15,3.0107697374515e-14,1.3965327279560898e-14,4.896088144226141e-15,3.0107697374515e-14,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-08,France,5,5,27.9306545591218,9.79217628845229,60.215394749030104,13.9653272795609,4.89608814422614,30.107697374515,0,0,1.71866588333654e-07,6.08770914106228e-08,3.7113714780381796e-07,1.71866574368326e-07,6.08770865145347e-08,3.7113711769612005e-07,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-09,France,0,5,41.8959818386826,14.688264432678402,90.3230921235451,13.9653272795609,4.89608814422614,30.107697374515,0,0,6.70279641433005e-06,2.37420637896294e-06,1.44743476202564e-05,6.5309298259964e-06,2.31332928755232e-06,1.41032104724526e-05,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-10,France,0,5,55.861309118243504,19.584352576904603,120.43078949806002,13.9653272795609,4.89608814422614,30.107697374515,0,0,5.27630383450415e-05,1.86892655648582e-05,0.00011393909516281699,4.60602419307114e-05,1.63150591858953e-05,9.946474754256021e-05,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-11,France,0,5,69.82663639780439,24.4804407211307,150.538486872575,13.9653272795609,4.89608814422614,30.107697374515,0,0,0.00022617641188268301,8.01142458580237e-05,0.000488416446918202,0.00017341337353764098,6.14249802931655e-05,0.00037447735175538503,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-12,France,0,5,83.79196367736529,29.3765288653569,180.64618424709,13.9653272795609,4.89608814422614,30.107697374515,0,0,0.0007158242822580441,0.000253553065337933,0.00154578609523445,0.000489647870375361,0.000173438819479909,0.00105736964831625,4.61869898521649,4.02525360794419,5.287798237347481
2020-02-13,France,0,5,117.08809481658899,43.073543024805204,246.41969199296102,33.2961311392239,13.697014159448301,65.77350774587029,0,0,0.00184223781066805,0.000652541490354193,0.003978218764614821,0.00112641352841001,0.00039898842501626,0.0024324326693803697,4.61869323833216,4.0252423351357,5.28779517322403
2020-02-14,France,0,5,157.99295035920798,60.109434739853,326.833553455001,40.9048555426185,17.0358917150478,80.4138614620402,0,0,0.00406763218712338,0.00144082878662865,0.00878377118550206,0.00222539437645532,0.000788287296274456,0.00480555242088724,4.61869094367751,4.02523830750928,5.28779373506975
2020-02-15,France,0,5,210.404499373108,82.6859232528241,428.66701828934504,52.4115490138999,22.5764885129711,101.833464834345,1,1,0.00798380649039425,0.00282903259689405,0.0172377368276885,0.00391617430327087,0.0013882038102654,0.008453965642186421,4.61868812373888,4.02523339443026,5.28779194746796
2020-02-16,France,0,5,279.095427227704,113.37998996431999,559.390160539593,68.69092785459691,30.6940667114959,130.723142250247,0,1,0.0143795453706395,0.0051021789899858,0.0310284187640057,0.00639573888024524,0.00227314639309174,0.0137906819363172,4.61868450718037,4.02522722706167,5.28778958053743
2020-02-17,France,1,6,369.68818758865194,155.468579447345,728.1063144341141,90.59276036094771,42.088589483025295,168.716153894521,0,1,0.0241716024004652,0.008601456730840791,0.0520917816450511,0.00979205702982567,0.003499277740855,0.0210633628810454,4.61867976194275,4.02521934629808,5.28778635534665
2020-02-18,France,0,6,489.283636222243,212.727018586448,945.7514726214031,119.595448633591,57.258439139103096,217.645158187289,0,1,0.0385753679427118,0.0137970780359233,0.0829478235563881,0.0144037655422467,0.00519562130508256,0.030856041911337003,4.61867349655262,4.02520921957793,5.28778193383986
2020-02-19,France,0,6,647.1760604419901,290.991929076016,1226.60153051723,157.892424219747,78.2649104895674,280.850057895831,0,1,0.0590080351321529,0.0212671217596424,0.12645075450929902,0.0204326671894411,0.0074700437237191,0.0435029309529106,4.61866521598352,4.02519619382692,5.287775871037169
2020-02-20,France,0,6,855.650062104814,397.718997622659,1588.2849081361499,208.47400166282299,106.72706854664301,361.683377618918,0,1,0.0873935707764516,0.0318201596672914,0.18639322647848397,0.0283855356442987,0.0105530379076489,0.0599424719691856,4.61865427148854,4.025179439988451,5.28776756096454
2020-02-21,France,0,6,1130.96552457737,543.541129364597,2054.5082741524498,275.315462472558,145.822131741939,466.223366016299,0,1,0.126270567139844,0.0466043930739326,0.267459880151547,0.0388769963633929,0.0147842334066412,0.0810666536730631,4.6186398045896695,4.02515789372719,5.28775617272311
2020-02-22,France,0,6,1494.64299587044,742.3706883684359,2659.21571646176,363.67747129306997,198.829559003839,604.707442309306,0,1,0.178876158502022,0.0671185534071261,0.37541996301323494,0.0526055913621776,0.0205141603331935,0.10796008286168801,4.61862067771286,4.02513018580518,5.287740566856691
2020-02-23,France,0,6,1975.1661383825897,1014.1948619813198,3441.0637407133504,480.523142512146,271.824173612882,781.8480242515931,0,1,0.24944242075937498,0.0953888304238511,0.517642889688114,0.0705662622573529,0.0282702770167249,0.142222926674879,4.6185953835325595,4.02509455484003,5.287719181521389
2020-02-24,France,0,6,2610.24106547673,1386.33611004686,4453.39406020098,635.074927094142,372.141248065537,1012.33031948763,0,1,0.343695475641998,0.13423017028241602,0.704612096171726,0.0942530548826232,0.0388413398585645,0.18696920648361198,4.618561924754781,4.02504873553451,5.28768987637001
2020-02-25,France,0,6,3449.7940377121995,1894.8105364732398,5771.23107184395,839.552972235469,508.47442642638,1317.83701164297,0,1,0.4689637840494721,0.18754172859979604,0.9500271516480591,0.125268308407474,0.0533115583173802,0.24541505547633202,4.61851765439339,4.02498981486642,5.28764971844628
2020-02-26,France,2,8,4559.94825162499,2587.69759326747,7477.237587046,1110.15421391279,692.887056794234,1706.00651520205,0,1,0.635015019128204,0.260567227573066,1.26895115792049,0.166051235078732,0.0730254989732702,0.318924006272435,4.618459063606809,4.02491404706719,5.287594688726889
2020-02-27,France,3,11,6028.29992013999,3533.7756380802202,9687.87393958669,1468.351668515,946.0780448127499,2210.6363525406896,1,2,0.8549316547613409,0.36122368972777097,1.6821694179636202,0.21991663563313701,0.100656462154705,0.413218260043128,4.61838149991683,4.02481661569641,5.287519280014769
2020-02-28,France,21,32,7970.9192581542,4816.39420113036,12554.5611367506,1942.6193380142101,1282.61856305014,2866.6871971639002,0,2,1.14581115002929,0.49905274667127,2.2154564071556897,0.290879495267945,0.137829056943499,0.533286989192064,4.6182787929344,4.024691327775891,5.28741594601776
2020-02-29,France,19,51,10541.6417715432,6551.19637726826,16240.7115196868,2570.72251338896,1734.8021761379,3686.15038293618,0,2,1.53021739759819,0.686987539095765,2.90095419970081,0.384406247568906,0.18793479242449498,0.6854977925451221,4.61814275715104,4.0245302206516405,5.287274346596
2020-03-01,France,43,94,13944.400681266201,8895.15032812404,21031.6498925271,3402.7589097229998,2343.95395085578,4790.93837284036,0,2,2.0381756667496598,0.9444446384000151,3.7867653325537995,0.507958269151468,0.25745709930425,0.8858111328529941,4.6179625313097805,4.0243230567614,5.28708031386271
2020-03-02,France,30,124,18449.597222273,12062.267519930601,27285.151936270497,4505.19654100688,3167.11719180658,6253.5020437433395,0,2,2.7092673249076005,1.29725795310915,4.9299951789305405,0.671091658157942,0.35281331470913596,1.14322984637674,4.6177237005278,4.0240566744665,5.2868144360833
2020-03-03,France,48,172,24415.831347594798,16346.3698355551,35473.268436558195,5966.23412532178,4284.10231562452,8188.116500287751,1,3,3.59573525967162,1.77931816855851,6.406182576148701,0.8864679347640211,0.482060215449357,1.4761873972181498,4.61740712962849,4.023729725833791,5.28645011843947
