date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
2020-03-30,nowcast,0.9,0.9,1.0,0.9,1.0,0.98
2020-03-31,nowcast,0.9,0.9,1.0,0.9,0.9,1.0
2020-04-01,nowcast,0.9,0.8,0.9,0.9,0.9,1.0
2020-04-02,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-04-03,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-04-04,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-05,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-06,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-07,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-08,nowcast,0.8,0.8,0.8,0.8,0.8,1.0
2020-04-09,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-10,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-11,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-12,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-13,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-14,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-15,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-16,nowcast,0.8,0.8,0.9,0.8,0.8,1.0
2020-04-17,nowcast,0.8,0.7,0.9,0.8,0.8,1.0
2020-04-18,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-19,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-20,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-21,nowcast,0.8,0.7,0.8,0.8,0.8,1.0
2020-04-22,nowcast,0.8,0.7,0.8,0.7,0.8,1.0
2020-04-23,nowcast,0.8,0.7,0.8,0.7,0.8,1.0
2020-04-24,nowcast,0.8,0.7,0.8,0.7,0.8,1.0
2020-04-25,nowcast,0.8,0.7,0.8,0.7,0.8,1.0
2020-04-26,nowcast,0.8,0.7,0.9,0.8,0.8,1.0
2020-04-27,nowcast,0.8,0.7,0.9,0.8,0.8,1.0
2020-04-28,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-04-29,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-04-30,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-05-01,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-02,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-03,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-04,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-05,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-06,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-07,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-08,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-05-09,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-10,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-11,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-12,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-05-13,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-05-14,nowcast,0.8,0.8,0.9,0.8,0.9,1.0
2020-05-15,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-16,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-17,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-18,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-19,nowcast,0.9,0.8,0.9,0.8,0.9,1.0
2020-05-20,nowcast,0.9,0.8,0.9,0.9,0.9,0.99
2020-05-21,nowcast,0.9,0.8,1.0,0.9,0.9,0.99
2020-05-22,nowcast,0.9,0.8,1.0,0.9,0.9,0.97
2020-05-23,nowcast,0.9,0.8,1.0,0.9,0.9,0.94
2020-05-24,nowcast,0.9,0.9,1.0,0.9,1.0,0.9
2020-05-25,nowcast,0.9,0.9,1.0,0.9,1.0,0.87
2020-05-26,nowcast,0.9,0.9,1.0,0.9,1.0,0.87
2020-05-27,nowcast,0.9,0.9,1.0,0.9,1.0,0.89
2020-05-28,nowcast,0.9,0.9,1.0,0.9,1.0,0.89
2020-05-29,forecast,0.9,0.9,1.0,0.9,1.0,0.84
2020-05-30,forecast,1.0,0.9,1.0,0.9,1.0,0.81
2020-05-31,forecast,1.0,0.8,1.1,0.9,1.0,0.78
2020-06-01,forecast,1.0,0.8,1.1,0.9,1.0,0.76
2020-06-02,forecast,1.0,0.8,1.1,0.9,1.0,0.74
2020-06-03,forecast,1.0,0.8,1.1,0.9,1.0,0.72
2020-06-04,forecast,1.0,0.8,1.1,0.9,1.0,0.7
2020-06-05,forecast,1.0,0.8,1.1,0.9,1.0,0.71
2020-06-06,forecast,1.0,0.8,1.1,0.9,1.0,0.68
2020-06-07,forecast,1.0,0.8,1.1,0.9,1.0,0.67
2020-06-08,forecast,1.0,0.8,1.1,0.9,1.0,0.66
2020-06-09,forecast,1.0,0.8,1.1,0.9,1.0,0.65
2020-06-10,forecast,1.0,0.8,1.1,0.9,1.0,0.64
2020-06-11,forecast,1.0,0.8,1.1,0.9,1.0,0.64
